RHC,50,9.469804294215574
RHC,50,7.717241013027658
RHC,50,8.533309427671789
RHC,50,7.991467237782446
RHC,50,10.549473372184828
RHC,50,7.978267647044469
RHC,50,8.813745826999845
RHC,50,9.434989206941855
SA,50,8.471687553035443
SA,50,8.226673644358327
SA,50,8.707495526406312
SA,50,8.261027784811988
SA,50,8.33888542735112
SA,50,8.021584434603593
SA,50,8.554239208084423
SA,50,8.910714000162285
GA,50,6.308839261095935
GA,50,6.169189845298761
GA,50,12.92612116050497
GA,50,6.715947609044587
GA,50,7.1425238756570515
GA,50,6.519166169205261
GA,50,5.83600056870012
GA,50,6.33892622073712
MIMIC,50,9.997832350175532
RHC,60,9.961434697036124
MIMIC,50,10.084227742827233
SA,60,10.508086277090943
MIMIC,50,8.012449586463228
RHC,60,9.921796286669515
MIMIC,50,9.728141698840574
MIMIC,50,9.98172850803012
SA,60,9.461402805512883
RHC,60,8.959220099128547
RHC,60,10.131628839844062
RHC,60,9.50289755604308
SA,60,9.273028122526956
SA,60,9.067599158367157
SA,60,9.855122364443824
MIMIC,50,9.900929118159645
MIMIC,50,9.948782119281963
RHC,60,11.18167343183497
RHC,60,9.15751027063247
SA,60,9.508065445013616
SA,60,9.843414781841815
MIMIC,50,9.988771028290332
RHC,60,9.080865229252653
SA,60,10.20265546007954
GA,60,8.080513495950784
GA,60,6.953526917914266
GA,60,9.015864650510434
GA,60,7.139072187412914
GA,60,7.831249521249838
GA,60,6.438759150803736
GA,60,8.242681753492619
GA,60,10.814884930798698
MIMIC,60,11.939425991003315
MIMIC,60,10.945445986728442
RHC,70,9.807524651334825
MIMIC,60,14.30497367260776
RHC,70,10.93472077687477
MIMIC,60,13.761224109394892
RHC,70,10.790363286851441
SA,70,11.465717269929435
RHC,70,9.350947989266718
SA,70,11.856291838428895
MIMIC,60,14.638724973886827
SA,70,11.453595934874462
SA,70,11.12449994373811
RHC,70,10.386434386604954
MIMIC,60,10.62034123909467
SA,70,11.032921300571132
RHC,70,10.391961706725063
SA,70,10.831706776480653
MIMIC,60,12.66612964427506
MIMIC,60,10.70451902898686
RHC,70,9.667790571993555
RHC,70,12.032224494182723
SA,70,10.21884812101151
SA,70,12.72766964906664
GA,70,8.547486529562812
GA,70,8.740025296924667
GA,70,7.856944235878562
GA,70,8.333325730874467
GA,70,8.839966284711874
GA,70,7.7737512862474105
GA,70,8.830458400417491
GA,70,8.099339201494395
MIMIC,70,14.850706586734098
RHC,80,11.531411210800785
SA,80,12.605852067457935
MIMIC,70,13.867908872896546
RHC,80,10.40052574959429
SA,80,11.148495531349724
MIMIC,70,11.90761655879004
MIMIC,70,15.341978662889503
RHC,80,11.861173430757102
RHC,80,11.623463094866844
SA,80,11.962005403959159
SA,80,11.680336635594491
MIMIC,70,14.81273528723308
RHC,80,11.631989618867996
SA,80,10.727357354418942
MIMIC,70,16.625658829009705
RHC,80,10.45544632457254
SA,80,12.64878669697088
MIMIC,70,13.359128012851809
MIMIC,70,16.284202071948307
RHC,80,10.338284925798709
RHC,80,11.783440877859409
SA,80,12.530800232641486
GA,80,8.802219746355652
SA,80,10.373411670926078
GA,80,10.255018011052117
GA,80,9.280134846696214
GA,80,7.6285062510324
GA,80,8.644382984905382
GA,80,8.969461220515965
GA,80,8.269197745746759
GA,80,8.510813574286619
MIMIC,80,16.285535871331142
RHC,90,10.723857336814318
SA,90,13.939864905281532
MIMIC,80,14.29018705406492
RHC,90,12.476714629468724
SA,90,12.524016009279638
MIMIC,80,16.391562098777555
RHC,90,13.407516601789375
SA,90,12.851432217250204
GA,90,9.050237742270427
MIMIC,80,14.730173620604377
RHC,90,13.275154832309491
SA,90,12.28248817236566
MIMIC,80,17.4419439152542
RHC,90,11.935256619493439
SA,90,13.920908351335541
MIMIC,80,14.950747296243694
RHC,90,10.805285945859243
MIMIC,80,19.832698354551095
SA,90,11.466020974094771
RHC,90,13.343798932225663
SA,90,14.931478687111504
MIMIC,80,15.276548387610136
GA,90,8.893419663471573
RHC,90,12.265146275350975
SA,90,11.23016394829012
GA,90,9.085578894640319
GA,90,10.053477547128027
GA,90,9.27325992382113
GA,90,8.874733593654575
GA,90,8.849716215635222
GA,90,8.98695883531938
MIMIC,90,17.149686067587865
RHC,100,11.735696344434555
SA,100,15.176618096447612
GA,100,10.203784156376974
MIMIC,90,17.743818922697955
RHC,100,13.550624429021699
SA,100,13.564491071185845
MIMIC,90,20.698010393769426
RHC,100,14.394373146713036
SA,100,13.990685131845854
MIMIC,90,17.23115306075762
MIMIC,90,18.73142376185349
RHC,100,14.516044721906082
RHC,100,12.253805454803208
SA,100,14.021762109365428
SA,100,13.358051293000742
MIMIC,90,20.397456609585408
MIMIC,90,20.049979779544667
RHC,100,12.54687147818306
RHC,100,15.665817155778143
SA,100,14.303759261497015
SA,100,13.551141725082271
GA,100,10.0464567850989
MIMIC,90,16.27013547913242
RHC,100,14.759540372409193
SA,100,12.661554882945662
GA,100,8.731970105665615
GA,100,10.60257940391196
GA,100,8.495279162655377
GA,100,9.847184780504936
GA,100,10.748608581950243
GA,100,9.514941520782966
MIMIC,100,22.408509649964696
MIMIC,100,22.33164872291691
MIMIC,100,21.610502996146575
MIMIC,100,18.794436808811305
MIMIC,100,19.302380363809288
MIMIC,100,19.074523812662978
MIMIC,100,18.951305663839275
MIMIC,100,21.709089200591624
