SA,160,0.0,100,0
GA,160,172.0,103,13
MIMIC,140,196.0,1000,20783
RHC,160,2.0,134,0
SA,160,7.0,156,0
GA,160,181.0,516,67
MIMIC,140,225.0,1000,20568
RHC,160,3.0,100,0
SA,160,2.0,150,1
GA,160,170.0,1343,185
MIMIC,140,204.0,1000,20371
RHC,160,6.0,106,1
SA,160,10.0,129,0
GA,160,173.0,162,21
MIMIC,140,221.0,1000,21182
RHC,160,2.0,199,0
SA,160,4.0,100,0
GA,160,171.0,283,37
MIMIC,140,70.0,1000,21039
RHC,160,3.0,100,0
SA,160,5.0,137,0
GA,160,175.0,766,97
MIMIC,160,240.0,1000,25173
RHC,180,1.0,100,0
SA,180,1.0,100,1
GA,180,195.0,192,29
MIMIC,160,227.0,1000,24674
RHC,180,4.0,160,1
SA,180,1.0,100,0
GA,180,193.0,457,64
MIMIC,160,81.0,1000,25004
RHC,180,2.0,184,0
SA,180,0.0,100,0
GA,180,20.0,760,112
MIMIC,160,70.0,1000,25123
RHC,180,1.0,100,0
SA,180,1.0,100,0
GA,180,197.0,400,59
MIMIC,160,235.0,1000,24490
RHC,180,1.0,100,1
SA,180,3.0,191,0
GA,180,23.0,542,76
MIMIC,160,225.0,1000,25152
RHC,180,1.0,100,0
SA,180,14.0,254,1
GA,180,48.0,2449,346
MIMIC,160,88.0,1000,24930
RHC,180,1.0,100,0
SA,180,3.0,117,0
GA,180,193.0,259,74
MIMIC,160,230.0,1000,25003
RHC,180,2.0,121,0
SA,180,2.0,192,1
GA,180,113.0,3304,485
MIMIC,180,87.0,1000,29846
RHC,200,7.0,100,0
SA,200,1.0,100,0
GA,200,17.0,1212,181
MIMIC,180,242.0,1000,29600
RHC,200,3.0,100,1
SA,200,2.0,165,0
GA,200,219.0,510,80
MIMIC,180,252.0,1000,30143
RHC,200,7.0,139,0
SA,200,2.0,100,0
GA,200,8.0,128,20
MIMIC,180,241.0,1000,30525
RHC,200,4.0,137,1
SA,200,3.0,113,0
GA,200,211.0,502,76
MIMIC,180,76.0,1000,29736
RHC,200,10.0,182,0
SA,200,5.0,192,0
GA,200,58.0,1299,270
MIMIC,180,247.0,1000,30546
RHC,200,3.0,100,0
SA,200,5.0,105,0
GA,200,10.0,116,18
MIMIC,180,75.0,1000,29923
RHC,200,2.0,100,0
SA,200,10.0,289,0
GA,200,16.0,396,59
MIMIC,180,251.0,1000,30764
RHC,200,5.0,252,0
SA,200,2.0,100,0
GA,200,22.0,574,83
MIMIC,200,268.0,1000,34856
MIMIC,200,77.0,1000,35144
MIMIC,200,288.0,1000,35078
MIMIC,200,281.0,1000,34254
MIMIC,200,92.0,1000,35265
MIMIC,200,291.0,1000,34154
MIMIC,200,78.0,1000,34168
MIMIC,200,71.0,1000,34510
